data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2021-01-01;19:44:00;COM VÍTIMA;FINALIZADA;MADALENA;RUA BENFICA;;;EM FRENTE AO EXTRA NA SAIDA;MADALENA;;SUBURBIO;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Não há placas;;Dupla;Faixa contínua;Faixa seccionada;
2021-01-01;23:15:40;COM VÍTIMA;FINALIZADA;VÁRZEA;AV CAXANGA;;RUA GASTAO VIDIGAL;EM FRENTE A UPA DA CAXANGA;VÁRZEA;281;CIDADE;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Oleosa;Perfeito estado;Outros;Outras;;Única;Não existe;;
2021-01-02;10:54:00;COM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA RESPLENDOR;353;;AO  LADO  DO  COLEGIO ADERBAL  GALVÃO  EM  FRENTE  AO  CONJUNTO RESIDENCIAL  ADERBAL  GALVÃO;VASCO DA GAMA;;;COLISÃO COM CICLISTA;1;1;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2021-01-02;11:13:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;22;RUA CAPITAO ZUZINHA;RUA CAPITÃO ZUZINHA;BOA VIAGEM;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Canal;;
2021-01-03;09:32:00;COM VÍTIMA;FINALIZADA;ILHA DO RETIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;365;;EM FRENTE A LANCHONETE COXINHAS DE BATATA;ILHA DO RETIRO;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
2021-01-03;11:07:00;SEM VÍTIMA;FINALIZADA;CASA AMARELA;RUA OSCAR DE BARROS;126;;POSTO DE SAÚDE PROFESSOR MARIO RAMOS;CASA AMARELA;;SUBURBIO;CHOQUE;1;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Não existe;;
2021-01-03;15:00:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;;PRÓX AO EDIFÍCIO PAINEIRAS E STEAKS ESPETINHO;BOA VIAGEM;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Única;Faixa contínua;Faixa seccionada;
2021-01-03;15:39:00;SEM VÍTIMA;FINALIZADA;IPSEP;RUA JEAN EMILE FAVRE;750;RUA POTENGY;FARMÁCIA DIARIAMENTE / GALERIA MARIA DE LOURDES;IPSEP;564;SUBURBIO;COLISÃO TRANSVERSAL;2;0;0;0;0;0;0;0;0;0;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Dupla;Faixa contínua;;
2021-01-03;21:19:40;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA DO ESPINHEIRO;;RUA SANTO ELIAS;PROX AO POSTO DE GASOLINA IPIRANGA;ESPINHEIRO;;;COLISÃO TRANSVERSAL;2;0;0;0;0;0;0;0;0;0;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa seccionada;;
2021-01-04;09:56:00;COM VÍTIMA;FINALIZADA;ENCRUZILHADA;RUA FERNANDO CESAR;338;RUA DR JOSE MARIA;AO LADO DO MV AUTOMÓVEIS;ENCRUZILHADA;45;CIDADE;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Não existe;;
